inputs,outputs
AccumulatedAnnualDemand,AccumulatedNewCapacity
AnnualEmissionLimit,AnnualEmissions
AnnualExogenousEmission,AnnualFixedOperatingCost
AvailabilityFactor,AnnualTechnologyEmission
CapacityFactor,AnnualTechnologyEmissionByMode
CapacityOfOneTechnologyUnit,AnnualVariableOperatingCost
CapacityToActivityUnit,CapitalInvestment
CapitalCost,Demand
CapitalCostStorage,DiscountedTechnologyEmissionsPenalty
Conversionld,NewCapacity
Conversionlh,ProductionByTechnology
Conversionls,ProductionByTechnologyAnnual
DAILYTIMEBRACKET,RateOfActivity
DaysInDayType,RateOfProductionByTechnology
DaySplit,RateOfProductionByTechnologyByMode
DAYTYPE,RateOfUseByTechnology
default_values,RateOfUseByTechnologyByMode
DepreciationMethod,TotalAnnualTechnologyActivityByMode
DiscountRate,TotalCapacityAnnual
DiscountRateIdv,TotalTechnologyAnnualActivity
DiscountRateStorage,TotalTechnologyModelPeriodActivity
EMISSION,UseByTechnology
EmissionActivityRatio,
EmissionsPenalty,
FixedCost,
FUEL,
InputActivityRatio,
MinStorageCharge,
ModelPeriodEmissionLimit,
ModelPeriodExogenousEmission,
MODE_OF_OPERATION,
OperationalLife,
OperationalLifeStorage,
OutputActivityRatio,
REGION,
REMinProductionTarget,
ReserveMargin,
ReserveMarginTagFuel,
ReserveMarginTagTechnology,
ResidualCapacity,
ResidualStorageCapacity,
RETagFuel,
RETagTechnology,
SEASON,
SpecifiedAnnualDemand,
SpecifiedDemandProfile,
STORAGE,
StorageLevelStart,
StorageMaxChargeRate,
StorageMaxDischargeRate,
TECHNOLOGY,
TechnologyFromStorage,
TechnologyToStorage,
TIMESLICE,
TotalAnnualMaxCapacity,
TotalAnnualMaxCapacityInvestment,
TotalAnnualMinCapacity,
TotalAnnualMinCapacityInvestment,
TotalTechnologyAnnualActivityLowerLimit,
TotalTechnologyAnnualActivityUpperLimit,
TotalTechnologyModelPeriodActivityLowerLimit,
TotalTechnologyModelPeriodActivityUpperLimit,
TradeRoute,
VariableCost,
YEAR,
YearSplit,
